film,sinopsis,genre
KAILI: Karena Aku Ingin Kembali (Aug),film kaili ini bercerita tentang pertemuan seorang lelaki dan gadis yang tidak disengaja di sebuah perguruan tinngi ternama yang terletak di kota palu sulawesi tengah. pertemuan antar fajar yang diperankan oleh muhammad novriandi dan senja yang dipernkan oleh shella silvany kambay akhirnya menimbulkan benih-benih cinta diantara keduanya.,Romantis
Mengusahakan cinta (Aug),"film pertama yang mengambil tempat syuting di hongkong ini menceritakan perjuangan 2 cewek yang sudah lama menjadi tkw di sana. tentang wati yang mau pulang ke indonesia untuk menikah, namun ada sedikit ketegangan antara dia dan suaminya, karena ia haru menjalankan operasi yang mengharuskan ia dioperasi melalui lubang vagina. si calon suami kurang mempercayai dan berkata bahwa harusnya wati jujur ​​saja kepada dirinya tentang dirinya yang -mungkin- sudah tidak perawan.",Romantis
Unlimited Love (Aug),kisah persahabatan dan cinta segitiga antara andi (restu sinaga) widia (prisia nasution) dan prassetyo (dallas pratama). pras tiba-tiba muncul kembali dalam kehidupan andi dan widia yang telah menikah dan mendapatkan seorang anak. andi menduga munculnya pras adalah untuk merebut istrinya. kecemburuan andi memicu konflik di rumah tangganya. pras mengakui alasan untuk datang. dia tertular virus hiv-aids karena pergaulannya saat tinggal di belanda. beruntung anak yang ternyata hasil hubungan widia dengan pras sehat. dalam sisa waktu wafat pras menjadi sangat religius. pras kembali ke belanda. sejak kepergiannya andi dan widya selalu menunggu untuk mendengar tentang pras dari belanda. hingga suatu sore muncul sebuah surat tentang keberadaan pras.,Romantis
Asmara Di Balik Pintu (Aug),andika (rano karno) berhasil jadi arsitek berkat bantuan kakaknya rendy (kaharuddin syah). tiba-tiba ia lupa kenangan karena sangat terguncang saat menyaksikan melisa (marissa haque) pacarnya menikah tak benyawa. melisa diperkosa orang. saat andika datang untuk meminta maaf atas kejadian sehari sebelumnya di mana andika hampir melampaui batas. berbagai cara dilakukan rendy untuk menyembuhkan adiknya tetapi tidak berhasil. suatu saat rendy melompat dengan nisye (marissa haque) seorang pramuria. rendy minta nisye membantu memulihkan ingatan andika. nisye yang awalnya terkejut menyaksikan reaksi andika tersentuh akan kasih sayang kakak kepada adiknya itu karena baru pada saat itu dia menemukan keadaan seperti dalam hidupnya. atas bantuan dokter yang merawat andika nisye berhasil memulihkan ingatan andika. setelah berhasil nisye pergi karena ia merasa tidak pantas mendampingi andika.,Romantis
Winter in Tokyo (Aug),winter in tokyo berpusat pada kehidupan ishida keiko (pamela bowie) gadis keturunan jepang-indonesia yang selama ini masih menyimpan rasa buat cinta pertamanya waktu kecil. di awal film diceritakan bahwa keiko akhirnya mendapatkan tetangga baru di apartemennya. street pengambil gambar berbakat yang sudah lama tinggal di new york bernama nishimura kazuto (dion wiyoko). menariknya dalam waktu singkat keiko dan kazuto jadi sangat akrab. mengenal pribadi satu sama lain dengan sangat baik. bahkan saling berbagi masa lalu. hingga suatu hari keiko bertemu lagi dengan cinta pertamanya kitano akira (morgan oey). tapi sekeras apa pun keiko berusaha untuk menjadi lebih dekat dengan akira kesibukan akira sebagai dokter justru selalu memberi ruang buat kazuto. membuat tumbuhnya perasaan baru yang istimewa antara keiko dan kazuto. sedihnya sehari setelah malam natal yang indah membuat keduanya sebuah musibah justru menimpa kazuto. sebuah pukulan keras di kepala membuat kazuto koma selama beberapa hari. dan cedera itu mengakibatkan kazuto tidak bisa mengingat kejadian yang telah terjadi selama sebulan terakhir bersama keiko di tokyo. yang ia ingat saat terbangun hanyalah kenangan tentang new york tentang rasa cintanya buatan iwamoto yuri (kimberly ryder).,Romantis
Jelita Sejuba: Mencintai Kesatria Negara (Aug),kisah cinta sharifah dan jaka tidak terlalu berliku. takdir diperlihatkan dengan mudah. tanpa kencan pacar jaka segera mengusulkan untuk sharifah dan mereka menikah. namun kisah cinta bukan hanya tentang pertemuan. menjalani kehidupan cinta dalam bentuk rumah tangga apalagi kerabat tentara memiliki dinamikanya sendiri. sharifah harus belajar untuk menahan kerinduannya setiap kali jaka ditugaskan. seperti pantai sejuba yang didekorasi dengan batu-batu indah dan besar menunggu matahari besok sharifah terus menunggu kembalinya kekasihnya.,Romantis
Budak nafsu (Aug),fatima merelakan dirinya sebagai pengganti putrinya yang hendak diperkosa oleh serdadu jepang. bersama ratusan gadis lainnya fatima kemudian dikirim ke malaya sebagai pemuas nafsu serdadu yang setara. di malaya fatima berkenalan dengan takashi seorang pejabat jepang yang baik hati dan jatuh cinta padanya. kecintaan takashi dia sia-siakan fatima memilih membantu para pejuang bawah tanah malaya.,Romantis
7 Hati 7 Cinta 7 Wanita (Aug),kartini (jajang c noer) adalah dokter kandungan berusia 45 tahun. masa lalunya yang kelam membuat ia terjebak di tengah-tengah masalah kehidupan dan percintaan 6 orang pasien wanitanya yang juga kelam dan tidak bahagia. namun kebahagiaan nasib harus diperjuangkan. namun tidak semua gadis mampu memperjuangkannya dan kembali menjadi korban,Romantis
Ruang (Aug),film ini menampilkan pertalian cerita dalam bentuk alur berbalik atau cerita flashback. kisah flashback itu berlangsung sekitar tahun 1950-an dengan kisah cinta terlarang yang pernah dijalin kinasih (luna maya) - chairil (winky wiryawan). menjadi cinta terlarang karena chairil pada saat itu berstatus sebagai buruh pada tuan tanah gustav (kaharuddin syah). gustav adalah ayah dari kinasih. meski kisah cinta dua manusia berbeda kasta itu tak berujung pada jenjang pernikahan namun chairil tetap melahirkan seorang anak manusia dari kandungan kinasih yang diberi nama rais (slamet rahardjo). kehadiran rais itu dikabarkan oleh suami kinasih andhika (lucky hakim). andhika datang ke rumah chairil -- yang diujung cerita dijelaskan dengan setting rais duduk sambil menerima telepon -- karena istrinya telah meninggal dunia. tentang kegelapan gelap masa lalu ternyata baru diketahui rais setelah berusia senja. kisah itu terungkap ketika rais dan adiknya bernama rima (reggy lawalata) membuka sebuah 'kotak pandora'. kotak itu terbuka tidak lama setelah rais -- yang eksistensi mapan sebagai seorang diplomat di luar negeri -- tiba di jakarta. rais datang ke jakarta karena cewek yang selama eksistensi dianggapnya sebagai ibu telah wafat. ibu yang dimaksud adalah flori (adinia wirasti). flori sendiri dikisahkan menikah dengan chairil di ujung cerita. sementara di dalam kotak pandora tadi menyelip lembaran kertas terjilid berjudul ruang. selain itu masih ada lagi sebuah foto wajah kinasih yang sudah buram dan luntur terkena air sebongkah kerang serta selembar tulisan tangan yang dimasukkan ke dalam amplop coklat. dari rangkaian cerita tadi mengalir.,Romantis
Jaka Sembung (Aug),indonesia adalah negara dalam kekacauan. rakyat miskin dan ditindas oleh pemerintah belanda. namun satu harapan tetap dalam bentuk pemimpin pemberontak djaka semboeng. pemberontaknya dan kemampuan bertarungnya yang terkenal mengilhami orang-orang untuk bertahan. van shramm perwakilan belanda di jawa menawarkan hadiah untuk meninggal semboeng dan mempekerjakan seorang pejuang perkasa kobar yang tak bertekad untuk mengejarnya. satu pertempuran singkat kemudian kobar mati dan van shramm berubah menjadi seorang penyihir baginya. penyihir membangkitkan kembali musuh mematikan semboeng kieten untuk membalas dendam. kieten menghadapi semboeng dan mengalahkannya - semboeng dipenjara dan dibutakan oleh van shramm yang kejam. namun putri van shramm jatuh cinta pada semboeng dan membebaskannya. semboeng kembali menghadapi kieten dan dikuasai oleh sihirnya - akhirnya berubah menjadi babi sebelum melarikan diri dari penjara! pesulap yang ramah mengembalikan semboeng ke bentuk manusia dan mengajarkan keterampilan baru yang akan dibutuhkannya saat ia bersiap menghadapi kieten untuk terakhir kalinya.,Romantis
Asmara Di Balik Pintu (Aug),andika (rano karno) berhasil jadi arsitek berkat bantuan kakaknya rendy (kaharuddin syah). tiba-tiba ia lupa kenangan karena sangat terguncang saat memandang melisa (marissa haque) pacarnya menikah tak benyawa. melisa diperkosa orang. saat andika datang untuk meminta maaf atas kejadian sehari sebelumnya di mana andika hampir melampaui batas. berbagai cara dilakukan rendy untuk menyembuhkan adiknya tetapi tidak berhasil. suatu saat rendy melompat dengan nisye (marissa haque) seorang pramuria. rendy minta nisye membantu memulihkan ingatan andika. nisye yang awalnya terkejut memandang reaksi andika tersentuh akan kasih sayang kakak kepada adiknya itu karena baru pada saat itu dia menemukan keadaan seperti dalam hidupnya. atas bantuan dokter yang merawat andika nisye berhasil memulihkan ingatan andika. setelah berhasil nisye pergi karena ia merasa tidak pantas mendampingi andika.,Romantis
Mengusahakan cinta (Aug),"film pertama yang mengambil tempat syuting di hongkong ini menceritakan perjuangan 2 gadis yang sudah lama menjadi tkw di sana. tentang wati yang mau pulang ke indonesia untuk menikah, namun ada sedikit ketegangan antara dia dan suaminya, karena ia haru menjalankan operasi yang mengharuskan ia dioperasi melalui lubang vagina. si calon suami kurang menganggap benar dan berkata bahwa harusnya wati jujur ​​saja kepada dirinya tentang dirinya yang -mungkin- sudah tidak perawan.",Romantis
From Bandung with Love (Aug),"vega alias vey seorang pelajar yang bekerja sebagai penyiar radio dan copywriter. dia memiliki acara radionya sendiri yang membahas tentang cinta ""from bandung with love"". dalam satu pertunjukan dia berteori bahwa 10 dari 11 laki-laki tidak setia. teori ini kemudian dikonfirmasi ketika wulan sahabat vega ditipu oleh pacarnya. vega ingin menguji teorinya tentang ryan seorang direktur kreatif yang dikenal sebagai playboy. vega memberinya satu minggu sebelum acara radio berikutnya untuk bertemu ryan dan mengumpulkan informasi dari sudut pandang laki-laki yang tidak setia. tapi kemudian vega jatuh cinta pada ryan karena dia benar-benar tahu bagaimana memperlakukan seorang gadis berbakat yang tidak dimiliki pacar dion vega. vega segera menyadari bahwa dia adalah orang yang tidak setia.",Romantis
Cinta di Saku Celana (Aug),mimpi ahmad sederhana. dia ingin sekali punya cinta. dan mimpi itu sebenarnya terasa sangat wajar karena ahmad yang memang yatim piatu tidak pernah sekalipun merasakan cinta sejak ia kecil dan kehidupan di panti asuhan sampai akhirnya sekumpulan kartu-kartu pos misterius yang dikirimkan bagas dari berbagai penjuru dunia mempertemukan ahmad dengan bening. seorang mahasiswi cantik namun rapuh yang kemudian jadi sering ia temui di gerbong krl yang ditumpanginya. ahmad pun jatuh cinta. satu masalah. ahmad bahkan tidak punya keberanian untuk mengajaknya berkenalan peperangan terjadi di hati ahmad haruskah ia meraih cintanya atau terus kehidupan seperti ini? akhirnya atas saran ibu panti asuhan dan dukungan sahabatnya gifar ahmad menulis surat cinta. ia berencana memberikan surat itu kepada bening dan mengajaknya berkenalan sebelum semuanya terlambat. tapi karena sebuah kejadian kecopetan yang tak terduga menyebabkan surat itu hilang keberanian ahmad yang memang sudah tanggung langsung hancur tak putus asa kejadian kecopetan itu memberi ide pada ahmad. ia meminta bantuan seorang copet bernama gubeng untuk mencurikan cinta bening. tapi pada hari yang dijanjikan gubeng copet sewaan itu tak muncul ahmad pun geram. dengan mengulurkan palu stempel pos ahmad memburu gubeng yang ternyata insaf dan berada di sel penjara masalah ternyata tidak berhenti ketika gubeng masuk penjara. gubeng mengaku bahwa cinta itu kini tertinggal di saku celana jins yang sedang ia cuci di sebuah laundry. namun lagi-lagi setelah ahmad tiba di laundry yang dimaksud masalah baru kembali menghajar. karena ternyata si pemilik laundry itu roy juga menginginkan cinta dari seorang bening perseteruan pun terjadi dengan si pemilik laundry yang juga adalah bos narkoba yang terselubung. masalah semakin runyam ketika briptu nila datang menggerebek tempat itu dan ikut menahan ahmad. mimpi ahmad akan cinta pun terlihat semakin sulit untuk diraih apakah ahmad akan bisa mendapatkan cinta di saku belakang celana atau kini ia malah harus kehilangan segalanya?,Romantis
99 Cahaya di Langit Eropa (Aug),"kisah seorang siswa indonesia di eropa. bagaimana mereka beradaptasi, bertemu dengan berbagai sahabat hingga akhirnya membawa mereka ke rahasia-rahasia islam di benua eropa.",Romantis
Bulan tertusuk ilalang (Aug),"sukar menjelaskan bahwa ada cerita dalam film yang lebih ingin memberikan kesan-kesan tertentu saja. namun demikian, ada yang ingin diceritakan melalui sebuah kisah yang dituturkan secara tak teratur dan linier. kisah yang bisa ditangkap dari serpihan-serpihan dialog yang jumlahnya sangat sedikit maupun dari rentetan gambarnya. yang ingin lebih ditonjolkan agaknya ""perjalanan kejiwaan"" tokohnya. juga ingin dikesankan masalah kuno-modern dalam budaya jawa khususnya di solo. ilalang (norman wibowo) punya gangguan mental masa kecil: mencintai ibunya dan kekerasan ayahnya yang sering menusukkan jarum atau kawat. gangguan mental ini terbawa hingga dewasa saat dia belajar pada seorang musikus tua kraton waluyo (ki soetarman). partitur naskah ciptaannya sering disepelekan begitu saja dan ia juga jatuh cinta pada istri gurunya bulan (ratna paquita) gadis yang ""mencari"". hubungan-hubungan ini tak ada yang menghasilkan kebahagiaan.",Romantis
Siti (Aug),"siti (sekar sari) adalah perempuan 24 tahun yang nasib bersama dengan ibu mertuanya darmi (titi dibyo) anak semata wayangnya bagas (bintang timur widodo) dan suaminya bagus (ibnu widodo). rumah tangga siti adalah rumah tangga miskin yang tinggal di pinggir pantai parangtritis. bagus berprofesi sebagai seorang nelayan miskin yang membeli perahu baru dengan cara mewah. namun nasib sial menimpa satu tahun yang lalu ketika perahu baru milik bagus mengalami kecelakaan melenyapkan perahu sekaligus membuat bagus lumpuh serta membuat bagus tidak mampu melunasi utangnya. akibat kecelakaan itu siti dan darmi beralih profesi sebagai penjual peyek jingking untuk wisatawan di pantai parangtritis. di malam hari siti juga bekerja menjadi pemandu karaoke di salah satu tempat karaoke ilegal. adegan film dimulai ketika polisi menggrebek dan menutup tempat karaoke sarko (agus lemu radia). sementara itu bagus marah dan memulai pembicaraan dengan siti karena ia menjadi pemandu karaoke sementara siti terpaksa melakoni profesi malam itu demi melunasi hutang milik bagus. siti yang kesal akhirnya ikut bersama dengan sarko dan beberapa karyawan karaoke lainnya melakukan unjuk rasa di depan kantor polisi setempat. di sanalah siti bertemu dengan gatot (haydar saliz) salah satu polisi tampan yang ikut menjaga unjuk rasa. siti dan gatot mulai terlihat saling jatuh cinta dan terlibat dalam hubungan gelap. teman-teman sesama pemandu karaokenya mulai membujuk siti untuk segera meninggalkan bagus dan menikah dengan gatot yang lebih mapan. siti menjadi frustrasi ketika sang penagih kembali utang datang pada suatu pagi dan memberikan jangka waktu 3 hari bagi siti untuk melunasi hutang suaminya sebesar lima juta rupiah. sementara itu bagas menjadi malas belajar dan beberapa kali melawan perintah siti. pada saat yang sama sarko mengundang siti untuk datang lagi ke tempat karaoke karena sarko sedang berusaha menyogok polisi dengan memberikan layanan karaoke gratis malam itu agar tempat karaokenya dapat dibuka kembali. siti dan teman-temannya bertugas menjadi pramuria menggoda para polisi tidak kecuali gatot yang hadir malam itu. di ruang karaoke siti yang frustrasi berat merokok dan minum bir hingga mabuk. siti yang mulai tidak terkendali akhirnya mulai mendekati gatot. di luar ruang karaoke sarko dan teman-temannya terus memanas-manasi situasi agar siti mau menerima pinangan gatot. siti yang terpojok dalam situasi galau dan melepaskan kekecewaannya dengan mendekam di dalam kamar mandi ketika tiba-tiba gatot masuk ke dalam kamar mandi. di sana mereka berdua berciuman namun tidak lama gatot kesusahan karena siti yang tiba-tiba merasa “bukan siti yang biasanya”. namun setelah gatot kembali menanyakan apakah siti akan menerima lamarannya siti memutuskan untuk tetap bersama dengan bagus meskipun ia terbelit utang. gatot pun memberikan uang untuk membantu melunasi utangnya. siti yang mabuk berat hingga tidak mampu berdiri terpaksa pulang sambil membimbing kedua temannya pada dini hari. siti kemudian berjalan tertatih-tatih menuju kamar suami untuk menunjukkan bahwa ia telah membawa uang untuk melunasi hutang sekaligus menceritakan bahwa ia mencintai gatot. mendengar hal itu bagus hanya mengucapkan ""pergi"" dengan nada yang berat. mendengar hal itu siti marah dan film diakhiri dengan adegan siti pergi keluar rumah dan berjalan menuju pantai saat subuh terus berjalan menuju ombak lautan.",Romantis
Apa artinya cinta? (Aug),aliza (shandy aulia) adalah seorang gadis berusia 17 tahun yang kehidupan di tengah rumah tangga yang kaya dan harmonis. selain rutinitas sekolah ia dan sahabat karibnya mitha (acha septriasa) sering hang-out bersama teman-temannya yang lain. hal yang berbeda dari kehidupannya adalah pernikahan kakaknya rio (mischa chandrawinata) yang akan dilangsungkan beberapa minggu lagi dan keinginan aliza untuk kuliah di luar negeri yang masih menjadi pertimbangan ayahnya (onky alexander} dan ibunya (sari nila) yang hamil anak ketiga.,Romantis
Jakarta Love Story (Aug),rezky aditya sebagai aryo (25) mischa chandrawinata sebagai doni (25) rionaldo stockhorst sebagai teguh (25) dan kenang mirdad sebagai ucok (25) adalah sahabat yg sangat dekat sejak mereka kuliah. kekompakan mereka tetap berlangsung bahkan sampai saat ni masing-masing sudah berkarir di bidangnya. aryo tidak mau melanjutkan usaha ayahnya dan menjadi yang terkaya di antara semua. doni selalu berusaha sukses dengan keringatnya sendiri walaupun sebenarnya dia cukup berada. teguh dan ucok berasal dari keluarga sederhana sehingga mereka perlu bekerja di banting kerangka untuk menjalani hidup. perbedaan tersebut tak membuat persahabatan mereka retak. pesona aryo menjadikan nasya marcella sebagai dira (25) cinta mati padanya walaupun aryo sama sekali tak ada hati dia. dira malah berani berbuat nekat dan minta agar aryo menyelamatkannya dan mengembalikannya. dira yang berdiri di atas atap gedung tinggi mengancam akan melompat kalau aryo tak segera datang. doni teguh dan ucok yang malah jadi panik berusaha membujuk agar dira tak lompat. tapi aryo makin tak peduli. dia yakin dira hanya mencari perhatian saja. doni teguh dan ucok makin panik. doni pun akhirnya nekat dibimbing dira turun sambil menceritakan tentang kisah cintanya yang akhirnya kandas. michella putri sebagai alysa cewek yang sangat dicintainya memutuskan hubungan mereka dan sekarang pacarnya dengan delano rijke daniel sebagai vito (25) kawan mereka jg di masa kuliah yg anak orang kaya. alysa memilih vito karena doni tak mampu membelikan tas desainer ternama yg sangat didambakannya. dira kaget tak menyangka kalau alysa setega itu.,Romantis
Ruang (Aug),film ini menampilkan pertalian cerita dalam bentuk alur berbalik atau cerita flashback. kisah flashback itu berlangsung sekitar tahun 1950-an dengan kisah cinta terlarang yang pernah dijalin kinasih (luna maya) - chairil (winky wiryawan). menjadi cinta terlarang karena chairil pada saat itu berstatus sebagai buruh pada tuan tanah gustav (kaharuddin syah). gustav adalah ayah dari kinasih. meski kisah cinta dua manusia berbeda kasta itu tak berujung pada jenjang pernikahan namun chairil tetap melahirkan seorang anak manusia dari kandungan kinasih yang diberi nama rais (slamet rahardjo). kehadiran rais itu dikabarkan oleh suami kinasih andhika (lucky hakim). andhika datang ke rumah chairil -- yang diujung cerita dijelaskan dengan setting rais duduk sambil menerima telepon -- karena istrinya telah meninggal dunia. tentang kegelapan gelap masa lalu ternyata baru diketahui rais setelah berusia senja. kisah itu terungkap ketika rais dan adiknya bernama rima (reggy lawalata) membuka sebuah 'kotak pandora'. kotak itu terbuka tidak lama setelah rais -- yang nasib mapan sebagai seorang diplomat di luar negeri -- tiba di jakarta. rais datang ke jakarta karena gadis yang selama nasib dianggapnya sebagai ibu telah wafat. ibu yang dimaksud adalah flori (adinia wirasti). flori sendiri dikisahkan menikah dengan chairil di ujung cerita. sementara di dalam kotak pandora tadi menyelip lembaran kertas terjilid berjudul ruang. selain itu masih ada lagi sebuah foto wajah kinasih yang sudah buram dan luntur terkena air sebongkah kerang serta selembar tulisan tangan yang dimasukkan ke dalam amplop coklat. dari rangkaian cerita tadi mengalir.,Romantis
Budak nafsu (Aug),fatima merelakan dirinya sebagai pengganti putrinya yang hendak diperkosa oleh serdadu jepang. bersama ratusan cewek lainnya fatima kemudian dikirim ke malaya sebagai pemuas nafsu serdadu yang setara. di malaya fatima berkenalan dengan takashi seorang pejabat jepang yang baik hati dan jatuh cinta padanya. kecintaan takashi dia sia-siakan fatima memilih membantu para pejuang bawah tanah malaya.,Romantis
Liam dan Laila (Aug),liam seorang laki-laki perancis muda jatuh cinta dengan seorang laila indonesia.,Romantis
From Bandung with Love (Aug),"vega alias vey seorang pelajar yang bekerja sebagai penyiar radio dan copywriter. dia memiliki acara radionya sendiri yang membahas tentang cinta ""from bandung with love"". dalam satu pertunjukan dia berteori bahwa 10 dari 11 cowok tidak setia. teori ini kemudian dikonfirmasi ketika wulan teman vega ditipu oleh pacarnya. vega ingin menguji teorinya tentang ryan seorang direktur kreatif yang dikenal sebagai playboy. vega memberinya satu minggu sebelum acara radio berikutnya untuk bertemu ryan dan mengumpulkan informasi dari sudut pandang cowok yang tidak setia. tapi kemudian vega jatuh cinta pada ryan karena dia benar-benar tahu bagaimana memperlakukan seorang gadis berbakat yang tidak dimiliki pacar dion vega. vega segera menyadari bahwa dia adalah orang yang tidak setia.",Romantis
Kenikmatan (Aug),noni (chintami atmanegara) menolak dikawinkan dengan pilihan orangtuanya dan kawin lari dengan tono (robin panjaitan). tono lari dari rumah karena tidak mau mengikuti keinginan orangtuanya untuk lepas dari pengaruh jelek pergaulannya. harta orangtuanya jatuh ke tangan yenny (nina anwar)adik angkatnya. yenny lumpuh saat kedua orangtuanya meninggal karena kecelakaan. tono terus berjudi sampai rumah mereka pun habis dan untuk bertahan eksistensi tono menuruh noni melacur. nasihat yenny terhadap tono tak dihiraukan. tono mengumpankan noni pada handoko (yoseano waas) duda beranak satu. karena handoko jatuh cinta sesungguhnya anaknya takut hartanya jatuh ke tangan noni. suatu waktu noni diperkosa anak handoko bersama kawan-kawannya. waktu hendak mengadu pada tono noni hanya menemukan surat bahwa tono hendak kawin dengan mimi (lucy subardjo) pacar lamanya.saat pesta perkawinan noni membawa pisau yang lalu dihujamkan ke tubuh tono.,Romantis
Misteri cinta (Aug),haruman (johny indo) yang mempunyai usaha gelap pelacuran kawin dengan meita (wieke widowati). perkawinan ini direbut kembali karena bayi yang dilahirkan meita cacat. ini akibat pergaulan haruman dengan wanita-wanita nakal yang membawa penyakit. meita membunuh bayinya sendiri dan mengobrak-abrik praktik pelacuran. polisi jadi kalang kabut karena banyak panggilan perempuan dihilangkan. meita akhirnya sakit jiwa. ia tetap tidak memaafkan haruman karena tidak berterus-terang.,Romantis
Senjakala di Manado (Aug),"johny ww lengkong, seorang pelaut yang telah meninggalkan keluarganya selama hampir 20 tahun, berniat kembali ke manado dengan harapan keluarganya mau memaafkannya. namun ternyata istrinya telah meninggal dunia dan meninggalkan seorang anak bernama pingkan. johny pun berjanji akan merawat pingkan, namun ternyata semua tidak berjalan dengan mudah. pingkan merasa kesal tatkala johny mulai mencampuri urusan asmaranya dengan brando, kekasihnya, karena johny merasa brando bukan laki-laki baik-baik. dari situlah konflik antara ayah dan anak mulai terjadi.",Romantis
Selingkuh (Aug),"febryan (alex bintaro) melarang istrinya rowena (febby r lawrence) bekerja agar bisa hamil. karena kesibukan suami yang sangat setia mereka hanya bisa berhubungan seks saat rowena tidak makmur hingga belum punya anak. rowena punya hobi melukis. saat sedang berlatih di suatu tempat ia berkenalan dengan cindy (diaz astiza) yang mengaku suami pelaut dan memperkenalkan adik iparnya rex (reynaldi). setelah akrab cindy lalu merayu febryan sedang rex merayu rowena. cindy berhasil merekam febryan ""memperkosa"" dirinya sedang rex berhasil membuat rowena jatuh cinta dan meminta cerai dari suaminya apalagi setelah menyaksikan hasil rekaman febryan ""memperkosa"" cindy. febryan mendapatkan harta haknya dan sebagian uang mereka. ternyata cindy-rex adalah suami-istri penipu. rowena hampir mati dianiaya rex dan berusaha bunuh diri. ia menelpon febryan. mereka akur kembali apalagi ternyata di kandungan rowena ada janin dua bulan.",Romantis
7 Hati 7 Cinta 7 Wanita (Aug),kartini (jajang c noer) adalah dokter kandungan berusia 45 tahun. masa lalunya yang kelam membuat ia terjebak di tengah-tengah masalah kehidupan dan percintaan 6 orang pasien wanitanya yang juga kelam dan tidak bahagia. namun kebahagiaan nasib harus diperjuangkan. namun tidak semua cewek mampu memperjuangkannya dan kembali menjadi korban,Romantis
Badai Pasti Berlalu 1 (Aug),"ini adalah cerita tentang seorang cewek muda bernama siska (raihaanuun). begitu hatinya hancur maka dia menjadi cuek dan pahit. leo (vino g bastian) yang merupakan mahasiswa kedokteran menempatkan taruhan dengan teman-temannya untuk memenangkan hati siska. siska akhirnya jatuh cinta pada leo tetapi segera dia menemukan kebenaran tentang leo yang hanya bermain di situlah jantung siska pecah untuk kedua kalinya. keadaan menjadi lebih rumit ketika helmy (winky wiryawan) muncul dalam kehidupan siska. helmy sebenarnya adalah pria yang miskin tetapi pernah belajar di luar negeri dan dia aneh. siska mengetahui bahwa ayahnya berselingkuh dengan saudara perempuan helmy dan helmy menggunakan ini untuk membuat pikiran siska untuk menikah dengannya. untuk melindungi ibunya dari mengetahui kebenaran tentang perselingkuhan suami siska akhirnya setuju untuk menikahi helmy. tetapi helmy tidak secara resmi menikahi siska ia masih terus melayani cewek kaya demi uang mereka. ketika siska mengetahui bahwa helmy yang menghancurkan perusahaan ayahnya, siska memutuskan untuk melawan dan meninggalkan helmy setelah putra mereka meninggal. sementara leo yang adalah dokter sekarang datang untuk memenangkan hati kembali karena dia benar-benar mencintai siska.",Romantis
Last Night (III) (Aug),"tempat pengambilan lebih dari 36 jam, last night adalah tentang pasangan yang sudah menikah, joanna dan michael reed, yang berbagi apartemen di new york city. joanna adalah seorang penulis dan michael adalah agen real estat komersial. selama pesta dengan rekan-rekan michael, joanna memperhatikan dia menghabiskan waktu dengan rekan kerja yang menarik, laura nunez, dan bertanya-tanya mengapa dia belum tersebut sebelumnya. joanna bernyanyi michael berselingkuh, dan menghadapkannya ketika mereka kembali ke rumah. mereka bertengkar, tapi berdamai nanti malam itu. keesokan harinya, michael berangkat dalam perjalanan bisnis ke philadelphia bersama rekan-rekannya laura dan andy; joanna tetap tinggal untuk mengerjakan sebuah novel. saat mendapatkan kopi, joanna bertemu mantan pacarnya alex mann, dan mereka pergi ke bar di kemudian hari. mereka makan malam dengan dua orang kawan alex, sandra dan truman, dan mereka membicarakan hubungan masa lalu mereka dan pernikahan joanna dengan michael. joanna telah bertemu michael di paris saat mengerjakan sebuah cerita; dia tidak pernah memberi tahu michael tentang alex.",Romantis
Atambua 39° Celsius (Aug),tempat peristiwa: atambua masa kini. ronaldo bautista 47 th mulai bekerja sejak sebelum fajar. ia sopir bus antarkota. joao anaknya yang berusia belasan tahun terpisah dari ibunya sejak referendum timor timur 10 tahun lalu. joao yang tidak dekat dengan ayahnya senang berada di luar rumah. sampai suatu hari nikia dos santos gadis kupang datang ke atambua karena kakeknya meninggal. joao tertarik pada nikia tapi tidak tahu cara mengungkapkan perasaannya. karena mabuk saat sedang kerja ronaldo dipecat dan kemudian masuk penjara karena bentrok di sebuah rumah bilar. pada saat yang sama nikia kembali kembali ke kupang setelah joao berusaha mengungkapkan cintanya secara kejam dan berlebihan. joao sangat terpukul. ia berusaha mendapatkan uang untuk membebaskan ayahnya dan mencari nikia di kupang. ronaldo pulang ke rumah yang kosong. di kamar anaknya ia menemukan kaset-kaset berisi suara ibu yang sering didengar oleh joao. mendengar kaset itu ronaldo menyadari bahwa ia merasakan kehilangan yang sama dengan anaknya. sementara di kupang joao menemukan kenyataan eksistensi nikia yang tragis. ronaldo joao dan nikia bergulat dengan kepedihan luka-luka lamanya. salah satu dari mereka harus bisa menyelematkan yang lain.,Romantis
Cinta dari Wamena (Aug),litius (maximus itlay) tembi (benyamin lagowan) dan martha (madonna marrey) adalah tiga sahabat yang tinggal di wamena papua. mereka memiliki impian untuk bisa terus bersekolah. impian ini membawa mereka ke wamena di mana mereka bisa bersekolah secara gratis. tapi di sana persahabatan dan impian mereka diuji dengan gaya eksistensi permisif dan wabah aids yang melanda remaja papua. perjalanan eksistensi mereka pun membawa mereka ke arah dan tempat yang berbeda mulai dari papua sampai jakarta di mana pertemuan dengan seorang musisi (nicholas saputra) membuat litius mencari lagi persahabatan yang hilang.,Romantis
